id,area_sqft,bedrooms,bathrooms,age_years,distance_km,quality,garage_spaces,has_pool,lot_sqft,price
54,1020,2,1,15,20.0,8,1,0,5083,166200
55,1508,2,2,7,1.8,4,1,0,2868,339000
56,3671,6,4,55,27.5,7,1,1,14337,430200
57,2402,4,3,14,0.6,9,2,0,7566,674400
58,2373,4,3,54,29.8,3,3,0,12576,248100
59,613,2,2,79,1.4,6,2,0,1540,196400
60,2612,5,3,24,4.3,7,2,0,6268,592400
61,890,1,1,48,15.5,6,1,0,5323,134400
62,1563,2,2,10,29.0,8,2,0,10197,225300
63,1683,2,1,30,21.3,7,0,0,6201,195500
64,1495,3,2,50,17.2,6,2,0,8259,200800
65,2249,4,3,19,4.9,7,0,0,6029,521000
66,2682,4,3,18,24.3,8,1,1,10251,405000
67,783,1,1,75,1.2,5,1,0,2235,175800
68,2191,4,2,33,16.6,5,2,1,6027,316200
69,2583,4,3,57,18.6,7,2,0,12226,341500
70,1583,3,2,84,1.0,4,1,0,5194,358500
71,2061,3,2,60,27.5,7,0,0,11846,225900
72,1110,3,3,44,1.5,4,2,0,2472,296400
73,2732,4,3,73,4.0,8,2,0,7039,605800
74,2358,5,4,80,30.3,7,2,0,11300,303000
75,1149,1,1,20,9.8,3,2,0,4058,213800
76,3233,5,3,17,4.2,7,2,1,12570,789500
77,1538,2,1,30,37.3,9,1,0,11909,190300
78,1435,1,1,56,0.6,5,1,0,2681,286000
79,1769,3,2,18,24.1,5,2,0,7868,220300
80,1028,3,3,6,17.3,4,1,0,6412,202900
81,2106,3,3,69,1.4,7,1,0,6256,491700
82,1395,3,3,46,2.6,5,0,0,3729,318100
83,583,1,1,58,33.8,7,0,0,7371,85100
84,1453,3,2,64,26.6,6,2,0,7803,185300
85,1280,1,1,13,11.1,7,2,0,4289,229500
86,2286,4,2,70,3.8,6,0,0,6500,423200
87,1343,1,1,32,28.5,6,0,1,8694,162800
88,903,1,1,69,5.1,4,2,0,3938,198900
89,1625,2,1,46,23.3,6,1,0,7918,203400
90,1703,2,1,55,32.9,7,2,1,8440,216000
91,1171,2,1,41,32.7,9,1,0,10301,157300
92,1520,2,1,26,2.9,6,1,0,3074,330200
93,1389,3,2,39,20.4,6,0,0,8679,187700
94,1259,2,2,53,8.2,6,1,0,5879,223900
95,1398,2,1,15,1.0,1,2,0,4733,311700
96,475,1,1,34,0.6,4,2,1,1235,191800
97,1284,2,1,80,21.8,8,2,0,6754,174100
98,2275,3,2,64,18.0,5,1,0,11886,273200
99,1819,2,2,27,19.3,9,0,0,10130,274200
100,2357,4,3,57,37.5,5,2,0,15346,267200
101,2482,3,2,60,26.8,7,1,0,11938,282100
102,1946,3,2,78,30.6,3,2,0,10327,167600
103,1559,3,3,63,13.9,5,2,0,7870,251100
104,2648,4,3,45,18.5,6,1,1,7900,319300
105,1868,4,3,1,24.0,4,1,0,10160,273100
106,3261,6,4,15,25.8,5,2,0,10118,396000
107,1684,3,2,31,27.6,10,2,0,10513,251100
108,2095,4,2,15,2.8,5,2,0,6010,462100
109,1998,3,2,58,18.2,4,2,0,10495,240200
110,1239,3,2,7,35.7,5,2,0,9966,168100
111,2518,4,2,61,1.8,4,2,0,9888,517800
112,1860,3,2,66,9.7,5,3,0,5229,303100
113,2432,4,3,70,5.9,6,2,0,5257,451800
114,2694,5,3,22,0.6,7,0,0,4848,704000
115,697,1,1,80,23.7,6,1,0,5196,87600
116,1472,3,3,54,1.4,8,0,1,2253,404100
117,1491,2,1,13,7.7,4,2,0,4142,289700
118,1918,3,1,57,4.1,7,1,0,5920,423000
119,2809,4,3,68,27.1,6,0,0,9800,321500
120,1123,1,1,77,2.4,8,2,0,4260,279600
121,556,1,1,83,23.3,5,2,0,5086,77000
122,1376,2,1,80,1.7,7,2,0,4423,313700
123,2394,4,3,54,16.2,5,2,0,12004,315600
124,1977,4,3,54,18.7,9,0,0,7412,311300
125,1799,3,2,71,30.2,8,2,0,8093,247100
126,2024,3,3,41,15.6,4,2,0,9743,288600
127,1814,3,2,34,1.1,6,2,0,4713,455000
128,1410,3,3,38,13.7,7,2,0,6776,242200
129,2726,4,3,73,4.9,4,2,0,4489,493100
130,2226,3,2,52,36.8,7,2,0,10545,237100
131,1556,2,1,27,22.6,10,1,0,6317,223200
132,1439,3,1,16,7.1,6,3,1,4261,301900
133,1506,3,2,27,7.6,5,2,0,5626,294300
134,722,2,2,39,7.7,7,1,0,2596,181600
135,2724,3,2,3,1.5,5,2,1,5273,687800
136,1412,1,1,29,7.2,6,3,0,6452,264600
137,2270,5,4,32,3.5,9,2,0,5843,629400
138,1854,2,2,37,14.0,3,1,0,9080,233900
139,2384,3,2,12,1.5,8,2,0,3510,601500
140,4010,6,4,31,10.9,9,1,0,17001,658900
141,1486,2,1,12,26.4,8,2,0,8080,228900
142,1299,2,1,80,24.0,6,0,0,7320,136800
143,1984,4,2,15,18.8,10,2,0,10399,334400
144,2734,6,4,60,21.4,5,1,0,11161,312600
145,1836,3,2,47,8.6,4,1,0,4007,280400
146,2200,4,3,59,13.4,7,1,0,8899,323800
147,1166,2,2,9,19.9,5,0,0,6058,176300
148,1107,2,2,85,7.6,4,1,0,5012,196500
149,2255,5,2,65,22.5,5,0,0,11564,266500
150,1386,3,2,7,11.6,4,2,0,5804,240100
151,1346,2,2,81,7.8,5,1,0,3408,249000
152,2286,3,2,1,26.1,8,1,0,8039,312700
153,2000,2,1,11,17.2,6,1,1,9904,286900
154,2863,3,1,35,3.6,5,2,0,9462,534200
155,2639,5,4,83,9.8,4,2,0,10604,405400
156,2616,5,3,48,15.2,6,2,1,9047,415000
157,1460,3,2,11,22.7,6,2,0,9517,228000
158,662,2,1,10,26.3,9,1,0,5835,122300
159,1728,3,2,15,0.6,7,2,0,3825,472800
160,1136,1,1,16,16.8,7,0,0,6081,190400
161,2341,4,3,11,30.8,6,2,0,12458,322400
162,1943,3,2,80,13.3,8,2,0,6229,318500
163,1212,2,2,9,20.3,4,1,0,6335,192900
164,750,1,1,15,6.1,5,1,0,3614,179500
165,2154,5,4,22,16.3,8,1,1,9578,428200
166,781,1,1,9,0.6,6,1,0,1247,230400
167,1706,3,2,76,9.0,8,1,0,7890,310100
168,1430,2,1,61,9.9,5,0,0,5789,213100
169,2283,4,3,5,22.8,4,3,0,8816,302600
170,2191,3,3,72,28.8,8,2,0,12026,300600
171,1558,2,1,80,17.8,6,0,0,8434,190400
172,1153,2,2,79,37.9,8,3,0,8638,169400
173,1803,3,2,2,25.4,5,1,0,9348,213200
174,2266,4,3,73,3.1,8,2,0,6176,545600
175,2662,4,3,50,4.1,7,1,0,9595,551500
176,1331,2,2,30,35.7,7,1,0,10347,174400
177,1290,2,1,38,5.9,5,2,0,5386,253100
178,2660,4,2,15,3.3,5,2,0,9985,533800
179,2716,4,3,38,29.3,8,3,1,15570,380200
180,1480,1,1,4,27.0,4,1,0,8345,190000
181,859,1,1,6,10.1,7,0,0,4019,174000
182,2115,3,2,84,12.0,6,2,0,9551,318300
183,2698,4,2,11,11.0,4,0,1,9344,418400
184,475,2,3,71,28.9,6,2,1,6957,117100
185,2151,3,2,3,26.0,6,1,0,11899,282900
186,450,1,1,14,22.5,5,2,0,5337,87300
187,2133,3,2,64,28.7,7,2,0,10440,248100
188,2349,3,2,15,2.8,5,1,0,5050,479500
189,650,2,2,31,12.0,6,1,0,3963,137900
190,1649,2,1,35,2.0,6,1,0,5994,363500
191,1168,2,1,79,14.5,6,2,0,6266,168600
192,942,2,1,58,31.3,7,1,0,8499,117300
193,1610,2,1,77,26.8,6,1,0,9987,164200
194,1677,2,1,41,0.5,7,2,0,5853,428800
195,1907,3,2,10,7.0,7,2,0,4137,377100
196,2550,4,3,42,1.8,7,2,0,5888,655400
197,2168,3,2,25,11.2,7,0,0,5784,332900
198,928,1,1,39,11.9,8,2,1,4940,209700
199,2021,2,2,1,8.9,4,1,0,4453,323800
200,1573,2,2,8,32.8,8,2,0,9366,209400
201,1706,3,2,38,15.0,6,2,1,8645,289000
202,1352,2,1,63,3.3,7,2,0,5503,325700
203,1593,3,2,17,34.6,6,0,0,9523,177700
204,1941,3,2,37,11.4,7,1,0,6607,304800
205,1162,2,2,32,22.2,5,0,0,5577,137100
206,1033,1,1,80,3.2,6,2,0,2848,236100
207,1943,3,1,57,5.4,3,2,0,5251,307800
208,899,2,2,70,1.7,7,1,0,2562,253600
209,3399,5,3,71,6.3,9,3,0,11460,749300
210,1657,3,1,36,16.0,6,1,0,9131,221600
211,2002,3,2,83,34.2,5,3,1,13172,215600
212,2571,4,3,21,16.3,5,1,0,11167,361600
213,2393,3,2,13,22.7,8,0,0,9554,343600
214,1351,2,2,38,2.7,5,2,0,4679,335900
215,1991,2,2,56,5.8,5,2,0,7601,348600
216,2137,3,3,57,10.9,7,1,0,6638,364600
217,1530,2,2,76,25.5,9,2,0,9712,233700
218,1111,1,1,50,11.3,7,2,0,3908,169500
219,1622,3,3,10,6.4,6,1,1,3858,381300
220,2468,3,1,24,36.8,6,2,0,10860,281900
221,1839,2,1,11,25.5,6,2,0,8463,241700
222,450,1,1,79,15.5,8,0,0,3477,80800
223,2205,5,3,11,22.6,4,2,1,11341,309300
224,2328,4,3,74,23.0,6,1,0,7774,270600
225,3545,6,4,47,5.6,6,2,0,7551,657600
226,2583,3,2,78,32.5,7,1,0,12142,251600
227,2511,4,2,44,25.9,2,2,0,11600,276000
228,1486,2,2,29,12.8,9,0,0,5044,252600
229,2522,4,3,50,20.3,8,1,0,12399,357500
230,1485,2,1,48,23.1,4,0,0,6740,147700
231,1655,2,1,19,6.0,6,2,0,7329,342200
232,874,2,1,18,31.2,7,3,0,6940,141900
233,1389,2,2,60,7.1,5,1,1,5803,275400
234,1042,2,1,16,1.9,4,1,0,1786,275000
235,2152,3,1,63,20.5,6,3,0,6959,249200
236,931,2,1,31,34.9,9,0,0,8587,118500
237,1454,2,2,43,8.4,6,2,0,6735,288200
238,2440,3,2,61,1.6,4,2,0,6833,493400
239,1812,2,1,43,24.3,7,1,1,8604,231100
240,1135,2,2,74,0.7,4,2,0,1927,277700
241,3430,5,3,81,3.7,5,3,0,11898,660600
242,1521,3,2,10,9.7,6,1,0,4290,298500
243,992,1,1,81,31.8,5,1,0,9461,108500
244,2667,5,2,6,32.4,8,2,0,12586,376400
245,2066,4,2,38,10.1,6,2,0,4709,318400
246,2131,4,3,39,0.8,5,2,0,3364,487400
247,878,1,1,8,30.4,9,1,0,8286,155100
248,2122,3,2,66,16.3,6,3,0,10687,323500
249,1676,2,1,25,14.1,6,0,0,8315,258900
250,1573,3,2,12,23.1,5,3,0,7983,214500
251,2862,5,3,65,1.9,7,2,0,4636,614600
252,2456,4,3,30,31.2,5,3,0,8978,304400
253,2243,5,4,6,37.0,9,2,0,12588,312900
254,2219,4,3,9,21.3,7,2,0,11846,349800
255,1807,3,3,61,2.4,4,1,0,2838,337700
256,2212,3,2,47,23.6,7,1,0,8867,294200
257,2436,4,4,34,13.2,4,1,0,6739,362600
258,2061,5,4,57,4.3,6,2,1,5725,516500
259,930,2,2,42,7.2,3,1,0,4193,176000
260,843,2,2,16,8.5,6,3,0,2829,225100
261,1890,3,3,50,9.7,4,2,0,4601,313600
262,2585,4,3,78,15.9,6,2,1,12093,409500
263,1384,2,1,0,31.2,6,1,0,8971,190400
264,2441,4,4,60,11.8,7,0,0,10568,393000
265,1776,2,2,74,8.3,7,1,1,3946,374700
266,1236,2,1,5,18.1,9,2,0,6930,202400
267,2881,5,3,2,29.7,10,2,0,9652,413500
268,1040,1,1,6,17.6,7,3,1,4972,206500
269,1990,3,1,22,2.2,7,1,0,4741,452900
270,2918,4,3,36,6.9,7,2,0,5372,540300
271,2408,4,2,18,18.6,7,2,0,7507,349800
272,1838,3,2,80,20.9,5,2,0,6848,243600
273,2189,3,1,31,0.8,6,1,0,5522,483300
274,1827,3,3,15,35.4,6,2,0,11871,253900
275,2600,3,2,41,12.9,5,2,0,11297,319600
276,930,2,1,61,33.8,7,2,0,7310,121900
277,1628,2,1,30,25.5,7,3,0,8787,223300
278,1557,2,2,11,10.9,5,2,0,4690,260700
279,1367,3,3,18,6.0,7,1,0,4265,320200
280,2174,3,2,13,12.6,2,1,0,5760,289600
281,2115,3,1,23,21.4,6,1,1,11696,282600
282,1704,3,2,69,14.8,8,0,0,7033,263700
283,2699,4,3,71,1.6,8,1,0,4192,691000
284,2068,3,2,19,1.7,6,1,0,4445,464200
285,1928,4,3,78,22.1,4,2,0,7312,240600
286,1861,3,3,82,5.1,6,1,0,5485,377200
287,1144,1,1,4,33.6,7,1,0,8391,150600
288,3079,4,3,42,21.9,4,1,0,10549,352100
289,1416,1,1,72,27.0,6,0,0,7648,157400
290,1490,2,1,2,29.4,3,3,0,7346,193800
291,1720,3,3,67,27.2,6,0,0,7769,212600
292,2109,2,2,72,18.0,4,1,0,10439,243100
293,2049,3,1,34,10.8,6,2,0,5610,324300
294,2136,3,2,78,11.5,8,1,1,8859,364100
295,2452,4,3,21,2.5,6,1,0,8387,535300
296,1777,3,2,11,1.3,5,1,0,4194,434600
297,1566,3,2,6,32.0,5,3,0,8134,214500
298,3121,5,4,78,30.0,9,1,0,12059,362100
299,2755,5,4,47,0.5,7,3,0,8791,705700
300,2711,4,3,24,5.6,6,1,0,7460,480300
301,1765,3,3,51,4.7,7,1,0,5197,401500
302,1912,3,2,67,35.1,4,2,0,13564,199100
303,2001,4,3,67,36.0,4,0,0,11837,208500
304,1962,3,3,23,1.8,5,0,0,4989,465100
305,1262,2,1,68,9.6,6,1,0,6354,183200
306,1909,2,2,44,30.4,7,2,0,8374,249400
307,1416,2,1,51,2.9,6,1,0,5588,284000
308,1173,2,2,3,29.7,6,3,0,9499,182900
309,1728,3,2,51,13.6,10,2,1,7865,379700
310,1391,2,1,65,5.6,6,1,0,4935,261300
311,1558,2,1,60,26.1,3,1,0,7884,160900
312,1519,4,3,21,1.8,7,2,0,5829,503200
313,2455,5,4,23,1.1,4,2,0,6500,583900
314,913,1,1,52,20.7,4,1,0,5886,112500
315,1909,4,2,27,7.8,8,1,0,5252,360800
316,1776,3,2,80,5.8,7,2,0,5654,377600
317,2289,4,3,80,13.1,5,1,1,5559,374200
318,1298,2,1,49,24.1,5,1,0,7668,146600
319,1901,3,2,77,10.7,5,2,0,5375,303600
320,3308,5,3,7,36.5,6,3,1,17540,406900
321,1271,2,1,2,12.6,5,3,0,4426,197000
322,1362,2,1,68,2.5,6,3,0,5453,301400
323,2505,4,3,70,36.6,6,3,0,13442,311300
324,2577,3,1,61,3.0,7,2,0,6368,527400
325,2757,4,3,51,4.6,3,2,0,6504,471400
326,2055,4,3,73,9.2,8,2,0,8589,388600
327,649,1,1,23,0.5,6,3,0,1180,234900
328,1485,2,1,3,11.8,5,2,0,6039,277500
329,2071,3,2,45,15.7,8,2,0,6626,300200
330,1691,2,1,1,2.1,6,2,0,4174,435300
331,1805,3,2,40,34.2,7,2,0,9556,203400
332,2002,4,3,33,0.5,5,3,0,3440,516900
333,2139,4,3,68,5.8,4,2,0,7869,413900
334,2010,3,2,14,14.9,5,2,0,8216,291000
335,1494,3,1,61,7.0,5,1,0,4864,262300
336,1431,2,2,25,11.4,6,0,0,6355,248700
337,1922,3,1,71,36.2,6,2,0,10184,204300
338,1706,2,2,29,30.5,6,1,0,8003,197000
339,3248,5,4,37,11.6,5,1,0,9265,463900
340,2803,5,3,33,6.8,6,2,0,5487,509800
341,1930,2,2,35,0.9,4,0,0,6698,391100
342,2602,3,2,52,35.8,7,1,0,16145,264000
343,1236,1,1,66,33.2,5,1,0,8678,131700
344,1567,2,2,53,11.7,5,0,0,4424,227000
345,1612,2,1,46,3.0,9,2,1,3855,426800
346,1821,2,2,16,17.2,5,0,0,7680,246100
347,1348,2,2,33,35.7,4,2,0,10148,147300
348,1398,3,2,27,10.5,6,2,0,5146,261000
349,2987,5,4,36,0.7,4,2,0,10801,660200
350,1156,2,2,37,13.6,9,2,0,5347,219800
351,3803,6,3,26,11.0,4,1,0,15983,487900
352,1205,2,1,61,24.5,9,1,0,6878,162800
353,2843,6,4,8,1.2,8,1,0,8223,769000
354,1043,2,2,84,29.7,5,1,0,7628,128900
355,3452,6,3,25,1.5,6,1,0,11406,749300
356,2125,3,3,50,1.1,8,2,1,5955,632500
357,1818,3,2,72,8.1,7,1,0,7549,348400
358,2120,4,3,52,0.8,5,1,0,6341,518100
359,1788,4,3,13,13.8,8,1,0,5924,333900
360,1946,2,1,71,13.2,7,3,0,8132,287900
361,2023,3,1,66,28.8,5,2,0,11527,243100
362,1395,1,1,31,1.3,5,1,0,3142,311800
363,450,1,2,49,33.1,5,2,0,6770,80500
364,2822,4,2,69,5.7,6,3,1,5396,514800
365,1331,2,1,7,34.9,7,2,0,9785,202200
366,2369,3,2,59,35.9,4,0,0,12630,222000
367,450,1,1,10,37.3,8,2,0,7674,98200
368,1767,4,3,12,9.2,7,2,0,5582,352800
369,1613,2,1,34,14.2,6,1,0,5951,245400
370,1569,3,2,56,12.8,7,2,1,7700,287100
371,1815,3,2,76,33.8,5,2,0,9074,204900
372,2260,3,2,6,17.9,5,1,1,6579,344900
373,1322,2,2,75,0.5,6,1,0,4478,320300
374,1552,2,2,25,15.6,5,2,0,8687,213000
375,1981,3,2,22,12.7,7,2,0,5789,305800
376,1797,3,2,70,27.3,7,0,0,8257,207700
377,2574,5,3,81,3.9,5,2,1,4080,527900
378,2184,4,2,81,6.6,5,1,1,6163,433700
379,2309,4,3,54,3.1,10,2,1,8029,607700
380,2414,3,3,84,9.4,7,2,0,9203,412000
381,1165,1,1,56,0.9,5,2,0,1811,291200
382,2163,4,2,30,31.6,8,1,0,13748,270700
383,2311,3,2,30,8.6,6,1,0,10218,381500
384,3561,5,3,44,27.5,7,0,0,9602,414700
385,1712,4,2,3,10.4,5,0,0,8239,298000
386,1139,2,1,8,11.8,7,2,1,4754,240100
387,1342,2,1,68,0.7,5,3,0,2354,294600
388,810,2,1,50,18.1,5,0,0,4909,100000
389,1304,3,2,59,28.1,8,2,0,9042,190100
390,2969,5,3,40,14.9,4,0,0,13598,341600
391,1314,2,1,69,1.5,4,0,0,2007,246000
392,2374,5,4,55,38.1,5,0,1,10661,286100
393,1747,3,1,3,34.9,8,3,0,11674,230000
394,1090,1,1,72,37.8,4,2,0,10934,123600
395,1696,3,2,36,32.1,8,1,0,8953,218600
396,2309,4,2,25,27.9,7,0,0,11559,289200
397,3197,5,3,15,30.7,10,0,0,16536,431900
398,1577,3,2,14,1.0,4,3,0,3891,359700
399,2190,4,2,33,16.9,4,0,1,7796,294500
400,1683,2,1,72,25.6,4,2,0,7021,174000
401,1885,2,1,35,1.4,4,2,1,4975,453000
402,2250,4,2,44,36.9,7,2,1,12669,279200
403,1519,2,1,12,31.8,4,2,0,11060,212900
404,1358,2,2,65,7.2,6,2,0,5537,265300
405,2151,3,2,57,26.8,6,1,0,12029,242900
406,1600,3,2,47,37.5,5,2,1,10764,198100
407,1163,1,1,47,18.8,3,2,0,5963,134100
408,3526,6,4,68,13.5,3,2,0,9618,377800
409,2098,4,3,42,3.5,9,2,0,3704,521600
410,2308,4,2,73,7.6,7,2,0,7505,410000
411,1779,2,1,18,13.1,7,1,0,5775,270600
412,1809,4,2,64,1.5,7,2,0,2768,396400
413,2258,4,3,24,18.0,7,2,0,8737,378300
414,716,1,2,5,8.6,7,0,0,2713,170400
415,2332,4,3,63,37.5,6,3,0,11476,269200
416,1517,2,2,55,4.1,5,0,0,4342,296200
417,2075,5,3,5,3.8,4,1,0,4089,452100
418,1979,3,2,4,9.8,4,0,0,6676,343200
419,1237,3,2,13,5.6,5,2,1,2977,317000
420,1264,1,1,19,33.1,8,0,0,8238,161400
421,1238,2,2,65,0.8,8,2,0,3811,317200
422,2849,5,3,28,0.8,5,2,0,4388,745800
423,2127,2,2,56,37.7,6,2,0,9695,234200
424,549,1,1,61,1.9,5,0,0,1309,112200
425,1573,2,2,53,3.9,4,0,0,6550,283300
426,1722,2,2,30,31.5,6,1,0,10860,220800
427,945,1,1,32,7.2,8,1,0,3452,197900
428,1857,2,2,2,26.4,6,0,0,9529,205100
429,3325,5,3,52,13.1,7,2,0,13193,489700
430,3119,5,3,82,3.2,6,2,0,6778,651600
431,2017,3,2,79,29.6,4,2,0,12592,208100
432,1956,3,2,60,3.6,7,3,0,3520,445600
433,1082,2,2,51,12.0,7,3,1,3906,244800
434,2452,3,2,21,14.1,8,1,0,11077,408100
435,2428,4,2,71,2.9,8,1,0,4955,494100
436,1657,2,2,22,11.1,7,2,0,7653,284300
437,1783,4,3,44,6.8,3,1,0,5874,310200
438,2726,5,4,8,4.0,6,1,0,9867,737900
439,2598,4,2,68,1.4,4,1,0,7813,526800
440,1820,2,1,5,30.0,4,0,0,11761,225900
441,1516,3,2,35,33.4,6,2,0,9322,176900
442,1083,2,1,65,5.4,4,1,0,4321,190500
443,1900,3,3,79,24.6,6,2,0,8942,221400
444,1573,2,1,31,21.3,3,2,0,7949,171100
445,1603,3,3,67,0.5,4,2,0,2603,347700
446,1274,1,1,65,9.4,6,2,0,4362,238400
447,1293,2,3,80,19.1,5,3,0,7525,179600
448,1667,2,1,81,1.5,9,2,0,6059,439500
449,927,1,1,40,23.2,3,2,0,6249,110600
450,1956,2,1,34,33.4,5,1,0,10310,194400
451,2750,5,2,52,1.2,7,1,0,10232,678700
452,697,1,1,52,5.5,6,1,0,3335,145900
453,2999,4,3,9,8.4,6,1,0,6174,534600
454,655,1,1,10,3.3,5,0,0,1880,171400
455,2200,4,2,23,7.2,7,2,0,4640,372400
456,878,2,2,50,7.9,6,2,0,4153,180500
457,2891,4,2,9,3.3,6,2,0,9948,643900
458,2854,5,3,75,2.3,6,1,0,5004,589900
459,1098,1,1,9,16.4,8,2,0,6601,198400
460,2214,5,3,55,21.6,9,0,0,10588,343000
461,2263,4,3,59,4.7,7,2,0,7455,470800
462,2311,5,3,43,3.6,6,2,0,6741,539800
463,1452,2,1,23,3.3,6,3,0,4356,341800
464,2432,3,3,76,17.3,4,2,0,12055,269200
465,2063,2,2,51,38.5,7,0,0,13325,238400
466,3579,6,4,25,1.4,8,1,0,6975,940000
467,1395,2,2,63,0.8,6,2,0,2460,360000
468,2025,2,1,52,6.3,4,2,1,4741,339600
469,1447,2,1,51,0.6,5,1,0,4838,313200
470,2634,5,4,1,23.5,4,1,1,12528,353300
471,802,2,1,17,25.4,7,1,0,5858,130100
472,2336,5,3,45,8.3,7,1,0,4867,430500
473,2478,3,2,38,23.8,6,2,0,7875,296000
474,1930,2,1,5,28.8,4,1,0,11152,190600
475,2500,3,2,27,21.3,4,1,1,10113,324200
476,1264,1,1,9,15.6,4,2,1,5351,206700
477,1733,4,2,54,12.5,5,2,0,8218,252400
478,1397,2,2,44,2.6,8,2,0,3471,361500
479,2790,4,3,20,16.8,5,2,0,9150,370200
480,1853,4,3,71,21.8,3,3,0,6916,240700
481,1436,2,1,37,12.8,6,0,0,4393,198200
482,2431,4,2,82,4.4,6,2,0,4095,523100
483,1926,3,2,45,29.9,6,2,0,11445,227100
484,1890,3,2,35,30.1,2,3,1,11184,234200
485,1335,3,3,16,28.5,8,1,0,6914,220000
486,2013,2,2,67,23.9,6,2,0,11367,217500
487,2142,4,2,7,34.1,5,2,0,13585,244500
488,1219,2,2,15,3.1,7,1,0,4018,345200
489,1552,3,1,19,35.2,6,1,0,9278,186600
490,2098,3,2,75,0.6,6,1,0,2893,489400
491,852,1,1,73,22.3,8,1,0,5820,117800
492,2517,4,2,15,1.0,9,2,0,4965,658000
493,2130,4,4,79,23.3,6,1,0,11898,258000
494,857,1,1,55,24.0,6,1,0,6621,116400
495,1440,3,2,48,3.0,6,1,0,4040,324400
496,1831,2,2,38,22.5,6,0,0,10016,195800
497,1144,2,1,79,28.9,5,1,0,8431,128400
498,1926,2,1,67,3.5,5,2,0,3794,382900
499,1999,3,2,5,25.9,7,1,0,9545,312000
500,2486,3,2,65,8.2,6,2,0,9526,421100
501,2137,5,3,6,28.1,4,3,0,11025,263400
502,1255,2,2,41,23.4,6,2,0,6760,165300
503,1478,3,2,40,11.9,5,2,1,6623,284200
504,2227,3,2,79,10.2,7,1,1,6028,422800
505,2195,4,3,57,16.0,5,1,0,6055,317600
506,1868,2,1,31,20.2,7,0,0,8405,260000
507,1930,3,3,70,17.9,5,2,0,6087,286500
508,2581,4,3,14,20.7,6,2,1,12683,370300
509,2480,4,3,12,28.4,7,1,0,12413,322900
510,1785,2,2,13,5.0,5,1,0,6096,421200
511,3168,5,3,0,4.4,7,2,1,9819,769200
512,1330,2,1,32,12.0,5,2,0,6141,207400
513,989,3,2,48,35.6,7,0,1,9924,151300
514,1515,3,3,1,9.9,5,1,0,7393,319800
515,1341,2,2,15,15.1,5,2,0,4521,222800
516,1336,3,2,74,18.3,5,2,1,5484,197600
